,1,2,3,4,5,6,7,8
Elle Orange,20,10,10,10,10
Messie Orange,20,10,10,10,10
Revelation Orange,20,20,20,20,20,18
Reven Orange,20,8,8,8,8
Trickster Orange,20,20,20,20,8
Deathly Orange,20,20,20,10,10,10
Tree Dweller Orange,20,20,20,10,8
Elevari Orange,20,20,20,10,8
Engie Orange,20,10,10,10,10
,,,,,,,,,20 slotters left,25
Elle Orange,X,O,O,O,O
Messie Orange,X,O,O,O,O
Revelation Orange,X,X,X,X,X,O
Reven Orange,X,O,O,O,O
Trickster Orange,X,X,X,X,O
Deathly Orange,X,X,X,O,O,O
Tree Dweller Orange,X,X,X,O,O
Elevari Orange,X,X,X,O,O
Engie Orange,X,O,O,O,O
