name,highest buy (gold),lowest sell (gold), id
Air-Filtration Device of Antitoxin,3.0138,5.0136,48896
Air-Filtration Device of Antitoxin,2.5006,3.9623,48897
Air-Filtration Device of Antitoxin,2.8006,3.969,48898
Superior Rune of Antitoxin,1.19,1.1901,48907

Lowest 5 buy orders
Superior Rune of Antitoxin,1.19
Air-Filtration Device of Antitoxin,2.5006
Air-Filtration Device of Antitoxin,2.8006
Air-Filtration Device of Antitoxin,3.0138
Air-Filtration Device of Antitoxin,3.0138

Lowest 5 sell offers
Superior Rune of Antitoxin, ,1.1901
Air-Filtration Device of Antitoxin, ,3.9623
Air-Filtration Device of Antitoxin, ,3.969
Air-Filtration Device of Antitoxin, ,5.0136
Air-Filtration Device of Antitoxin, ,5.0136
