name,highest buy (gold),lowest sell (gold), id
Carrion Sneakthief Mask of Balthazar,0.3866,0.999,89
Norgu's Coat,0.7093,1.1702,104
Berserker's Sneakthief Coat of Balthazar,0.3898,0.6094,248
Carrion Seer Boots of Balthazar,0.3807,0.6016,585
Norgu's Boots,0.9527,1.252,598
Berserker's Sneakthief Shoulderguards of Balthazar,0.566,1.0493,639
Koss' Greaves,0.75,1.0,848
Berserker's Scallywag Chest of Balthazar,0.9963,1.9813,1022
Koss' Chestguard,0.9002,1.2077,1042
Carrion Sneakthief Leggings of Balthazar,0.4284,0.5986,1191
Koss' Gauntlets,0.8,1.3156,1349
Koss' Helm,0.5078,0.7795,1644
Koss' Legplates,0.8,1.1494,1865
Norgu's Gloves,0.6964,1.1644,2046
Koss' Pauldrons,0.65,1.1216,2141
Norgu's Mask,0.6028,1.0101,2394
Rampager's Seer Pants of Balthazar,0.7507,2.9517,2544
Rampager's Seer Pants of Balthazar,1.6808,2.6804,2545
Norgu's Leggings,0.8051,1.1172,2546
Norgu's Mantle,0.557,1.0103,2700
Superior Rune of Balthazar,0.0309,0.0617,24765
Sentinel's Conjurer Mantle of Balthazar,11.0,0.0,41650
Dire Sneakthief Coat of Balthazar,0.7196,0.9692,45077

Lowest 5 buy orders
Superior Rune of Balthazar,0.0309
Carrion Seer Boots of Balthazar,0.3807
Carrion Sneakthief Mask of Balthazar,0.3866
Carrion Sneakthief Mask of Balthazar,0.3866
Carrion Sneakthief Mask of Balthazar,0.3866

Lowest 5 sell offers
Sentinel's Conjurer Mantle of Balthazar, ,0.0
Superior Rune of Balthazar, ,0.0617
Carrion Sneakthief Leggings of Balthazar, ,0.5986
Carrion Seer Boots of Balthazar, ,0.6016
Berserker's Sneakthief Coat of Balthazar, ,0.6094
