name,highest buy (gold),lowest sell (gold), id
Berserker's Sneakthief Mask of Dwayna,0.5116,1.009,73
Mhenlo's Coat,0.5767,0.7383,118
Berserker's Sneakthief Sandals of Dwayna,0.479,0.8095,171
Carrion Seer Boots of Dwayna,1.5033,2.4699,578
Mhenlo's Boots,0.4823,0.6524,616
Berserker's Sneakthief Shoulderguards of Dwayna,0.3841,0.5938,700
Carrion Scallywag Greaves of Dwayna,0.4153,0.6946,827
Shaman's Scallywag Greaves of Dwayna,0.7431,2.1791,853
Rampager's Scallywag Helm of Dwayna,0.8311,1.8993,1643
Carrion Seer Gloves of Dwayna,0.5538,0.8022,2031
Mhenlo's Gloves,0.4672,0.6644,2062
Carrion Seer Mask of Dwayna,1.0539,3.3998,2388
Mhenlo's Mask,0.4765,0.7416,2400
Mhenlo's Leggings,0.4899,0.6299,2552
Mhenlo's Mantle,0.3927,0.646,2706
Superior Rune of Dwayna,0.0246,0.0255,24768
Sentinel's Banded Pauldrons of Dwayna,8.2811,0.0,41644

Lowest 5 buy orders
Superior Rune of Dwayna,0.0246
Berserker's Sneakthief Shoulderguards of Dwayna,0.3841
Mhenlo's Mantle,0.3927
Carrion Scallywag Greaves of Dwayna,0.4153
Mhenlo's Gloves,0.4672

Lowest 5 sell offers
Sentinel's Banded Pauldrons of Dwayna, ,0.0
Superior Rune of Dwayna, ,0.0255
Berserker's Sneakthief Shoulderguards of Dwayna, ,0.5938
Mhenlo's Leggings, ,0.6299
Mhenlo's Mantle, ,0.646
