name,highest buy (gold),lowest sell (gold), id
Berserker's Sneakthief Coat of Vampirism,0.3869,0.6033,119
Rampager's Sneakthief Coat of Vampirism,8.307,19.999,178
Cleric's Sneakthief Coat of Vampirism,3.0022,9.97,216
Rampager's Sneakthief Sandals of Vampirism,2.9027,8.4748,316
Berserker's Sneakthief Gloves of Vampirism,0.408,0.94,696
Berserker's Scallywag Greaves of Vampirism,0.3534,0.6691,807
Rurik's Greaves,0.6067,0.8362,886
Rurik's Chestguard,0.669,1.0,1053
Cleric's Scallywag Gauntlets of Vampirism,0.7128,1.0789,1357
Rurik's Gauntlets,0.4621,0.9327,1360
Carrion Scallywag Helm of Vampirism,0.3661,0.6029,1639
Shaman's Scallywag Helm of Vampirism,1.3023,4.3021,1646
Rurik's Helm,0.4248,0.7108,1650
Shaman's Scallywag Legs of Vampirism,1.0669,1.9554,1867
Rurik's Legplates,0.4992,0.8384,1873
Cleric's Seer Gloves of Vampirism,0.5296,0.7797,2056
Berserker's Seer Gloves of Vampirism,0.3846,0.7276,2070
Shaman's Scallywag Pauldrons of Vampirism,0.5558,2.39,2143
Rurik's Pauldrons,0.5032,0.907,2151
Shaman's Seer Pants of Vampirism,1.0076,1.5491,2548
Berserker's Seer Mantle of Vampirism,0.3873,0.5996,2692
Superior Rune of Vampirism,0.0001,0.0345,24711

Lowest 5 buy orders
Superior Rune of Vampirism,0.0001
Berserker's Scallywag Greaves of Vampirism,0.3534
Carrion Scallywag Helm of Vampirism,0.3661
Berserker's Seer Gloves of Vampirism,0.3846
Berserker's Sneakthief Coat of Vampirism,0.3869

Lowest 5 sell offers
Superior Rune of Vampirism, ,0.0345
Berserker's Seer Mantle of Vampirism, ,0.5996
Carrion Scallywag Helm of Vampirism, ,0.6029
Berserker's Sneakthief Coat of Vampirism, ,0.6033
Berserker's Sneakthief Coat of Vampirism, ,0.6033
