name,highest buy (gold),lowest sell (gold), id
Berserker's Sneakthief Mask of the Afflicted,2.3644,5.6074,72
Berserker's Seer Coat of the Afflicted,0.3588,0.6405,82
Carrion Seer Coat of the Afflicted,0.4302,0.6187,91
Cleric's Seer Coat of the Afflicted,0.9609,2.8793,117
Sheena's Greaves,0.57,0.9049,834
Carrion Scallywag Chest of the Afflicted,2.602,4.295,1028
Brutus' Chestguard,0.7806,1.0867,1035
Cleric's Sneakthief Leggings of the Afflicted,0.5047,1.4997,1204
Berserker's Scallywag Gauntlets of the Afflicted,3.5668,11.9998,1327
Carrion Scallywag Gauntlets of the Afflicted,0.3983,0.6681,1339
Sheena's Gauntlets,0.6703,1.019,1342
Brutus' Helm,0.5546,0.8694,1641
Rampager's Scallywag Helm of the Afflicted,0.654,3.49,1642
Carrion Scallywag Legs of the Afflicted,3.1834,7.1824,1859
Sheena's Legplates,0.69,1.0481,1862
Cleric's Seer Gloves of the Afflicted,0.7004,1.4992,2060
Berserker's Scallywag Pauldrons of the Afflicted,4.2212,8.9995,2124
Brutus' Pauldrons,0.4627,0.99,2135
Berserker's Seer Pants of the Afflicted,0.3998,0.778,2537
Superior Rune of the Afflicted,0.0218,0.0255,24687
Dire Seer Boots of the Afflicted,0.6276,1.1678,45070

Lowest 5 buy orders
Superior Rune of the Afflicted,0.0218
Berserker's Seer Coat of the Afflicted,0.3588
Carrion Scallywag Gauntlets of the Afflicted,0.3983
Berserker's Seer Pants of the Afflicted,0.3998
Carrion Seer Coat of the Afflicted,0.4302

Lowest 5 sell offers
Superior Rune of the Afflicted, ,0.0255
Carrion Seer Coat of the Afflicted, ,0.6187
Berserker's Seer Coat of the Afflicted, ,0.6405
Carrion Scallywag Gauntlets of the Afflicted, ,0.6681
Berserker's Seer Pants of the Afflicted, ,0.778
