name,highest buy (gold),lowest sell (gold), id
Zhed's Coat,3.9506,5.2095,84
Carrion Seer Coat of the Centaur,0.3835,0.9544,88
Berserker's Sneakthief Coat of the Centaur,0.551,1.105,112
Shaman's Sneakthief Coat of the Centaur,0.8301,1.3996,191
Shaman's Sneakthief Coat of the Centaur,1.0925,1.9784,196
Rampager's Sneakthief Sandals of the Centaur,1.1044,5.89,297
Zhed's Boots,4.0514,5.8682,576
Rampager's Sneakthief Shoulderguards of the Centaur,1.1551,3.708,667
Cleric's Sneakthief Gloves of the Centaur,0.6015,2.3854,803
Berserker's Sneakthief Leggings of the Centaur,0.5718,0.8317,1185
Carrion Sneakthief Leggings of the Centaur,0.8053,3.782,1190
Shaman's Scallywag Gauntlets of the Centaur,0.7343,1.98,1352
Berserker's Scallywag Helm of the Centaur,0.352,0.605,1636
Carrion Scallywag Helm of the Centaur,0.3844,0.5995,1640
Berserker's Seer Gloves of the Centaur,0.4126,0.819,2021
Zhed's Gloves,4.1533,5.6867,2027
Zhed's Mask,4.1526,5.7398,2387
Zhed's Leggings,3.9108,5.853,2539
Carrion Seer Pants of the Centaur,0.4107,0.6049,2541
Zhed's Mantle,3.8924,5.6993,2693
Superior Rune of the Centaur,0.0226,0.0318,24788
Dire Seer Mask of the Centaur,0.6149,1.2002,45073
Dire Sneakthief Mask of the Centaur,0.6329,0.989,45079

Lowest 5 buy orders
Superior Rune of the Centaur,0.0226
Berserker's Scallywag Helm of the Centaur,0.352
Carrion Seer Coat of the Centaur,0.3835
Carrion Scallywag Helm of the Centaur,0.3844
Carrion Seer Pants of the Centaur,0.4107

Lowest 5 sell offers
Superior Rune of the Centaur, ,0.0318
Carrion Scallywag Helm of the Centaur, ,0.5995
Carrion Seer Pants of the Centaur, ,0.6049
Berserker's Scallywag Helm of the Centaur, ,0.605
Berserker's Seer Gloves of the Centaur, ,0.819
