name,highest buy (gold),lowest sell (gold), id
Berserker's Sneakthief Coat of the Dolyak,8.51,14.99,106
Carrion Sneakthief Coat of the Dolyak,0.4941,0.6029,143
Berserker's Sneakthief Sandals of the Dolyak,2.57,15.0,162
Cleric's Sneakthief Sandals of the Dolyak,0.8819,4.4594,355
Berserker's Seer Boots of the Dolyak,0.3918,0.5068,571
Shaman's Seer Boots of the Dolyak,1.2006,2.3506,604
Rampager's Scallywag Greaves of the Dolyak,0.9069,3.4999,841
Jalis' Greaves,0.8288,1.06,866
Shaman's Scallywag Chest of the Dolyak,0.9035,2.5025,1045
Jalis' Chestguard,0.8131,1.055,1047
Rampager's Sneakthief Leggings of the Dolyak,0.8115,3.9791,1194
Shaman's Sneakthief Leggings of the Dolyak,0.5439,0.7995,1197
Carrion Scallywag Gauntlets of the Dolyak,1.2097,2.5974,1335
Jalis' Gauntlets,0.8447,1.0741,1355
Carrion Scallywag Helm of the Dolyak,1.2606,2.8084,1638
Jalis' Helm,0.768,1.0507,1647
Berserker's Scallywag Legs of the Dolyak,6.0175,12.9998,1855
Berserker's Scallywag Legs of the Dolyak,0.3823,0.6021,1857
Jalis' Legplates,0.8145,1.1047,1868
Jalis' Pauldrons,0.7018,1.0671,2146
Shaman's Seer Pants of the Dolyak,0.6059,0.8952,2547
Carrion Seer Mantle of the Dolyak,0.437,0.6417,2696
Shaman's Seer Mantle of the Dolyak,1.0505,2.0501,2702
Superior Rune of the Dolyak,0.0405,0.0649,24699

Lowest 5 buy orders
Superior Rune of the Dolyak,0.0405
Berserker's Scallywag Legs of the Dolyak,0.3823
Berserker's Seer Boots of the Dolyak,0.3918
Carrion Seer Mantle of the Dolyak,0.437
Carrion Sneakthief Coat of the Dolyak,0.4941

Lowest 5 sell offers
Superior Rune of the Dolyak, ,0.0649
Berserker's Seer Boots of the Dolyak, ,0.5068
Berserker's Scallywag Legs of the Dolyak, ,0.6021
Carrion Sneakthief Coat of the Dolyak, ,0.6029
Carrion Seer Mantle of the Dolyak, ,0.6417
