name,highest buy (gold),lowest sell (gold), id
Berserker's Seer Coat of the Flame Legion,4.1539,9.7002,76
Carrion Sneakthief Mask of the Flame Legion,0.4308,0.5973,92
Shaman's Seer Coat of the Flame Legion,0.8191,2.0011,105
Berserker's Sneakthief Mask of the Flame Legion,0.4046,0.595,133
Vatlaaw's Mask,0.6114,0.9309,136
Cleric's Sneakthief Coat of the Flame Legion,0.8039,1.2501,210
Vatlaaw's Coat,0.8403,0.9891,251
Vatlaaw's Boots,0.8014,0.9998,412
Shaman's Seer Boots of the Flame Legion,0.5048,1.2531,600
Berserker's Seer Boots of the Flame Legion,0.4065,0.6366,626
Carrion Sneakthief Shoulderguards of the Flame Legion,0.5548,1.5311,651
Vatlaaw's Pauldrons,0.6112,0.8899,703
Vatlaaw's Gloves,0.7019,0.9924,825
Shaman's Scallywag Greaves of the Flame Legion,1.1105,2.5535,859
Vatlaaw's Leggings,0.7435,0.9994,1221
Cleric's Scallywag Gauntlets of the Flame Legion,0.6503,1.4996,1359
Cleric's Scallywag Helm of the Flame Legion,0.6251,1.3262,1649
Berserker's Scallywag Legs of the Flame Legion,0.6593,2.2998,1856
Cleric's Scallywag Legs of the Flame Legion,0.7034,1.1898,1870
Rampager's Seer Gloves of the Flame Legion,0.6838,1.5002,2042
Shaman's Seer Mask of the Flame Legion,1.1556,1.9805,2396
Superior Rune of the Flame Legion,0.0666,0.1073,24797

Lowest 5 buy orders
Superior Rune of the Flame Legion,0.0666
Berserker's Sneakthief Mask of the Flame Legion,0.4046
Berserker's Seer Boots of the Flame Legion,0.4065
Carrion Sneakthief Mask of the Flame Legion,0.4308
Shaman's Seer Boots of the Flame Legion,0.5048

Lowest 5 sell offers
Superior Rune of the Flame Legion, ,0.1073
Berserker's Sneakthief Mask of the Flame Legion, ,0.595
Carrion Sneakthief Mask of the Flame Legion, ,0.5973
Berserker's Seer Boots of the Flame Legion, ,0.6366
Vatlaaw's Pauldrons, ,0.8899
