name,highest buy (gold),lowest sell (gold), id
Aidan's Mask,1.3941,2.2768,103
Cleric's Sneakthief Mask of the Pack,1.0151,1.9918,116
Rampager's Sneakthief Coat of the Pack,2.8549,5.9999,168
Aidan's Coat,1.9453,3.0731,183
Carrion Sneakthief Sandals of the Pack,1.0536,1.4896,255
Aidan's Boots,1.8429,3.0471,323
Aidan's Pauldrons,1.4536,2.69,673
Aidan's Gloves,1.3252,2.0724,775
Shaman's Sneakthief Gloves of the Pack,1.3335,3.4896,785
Rampager's Scallywag Chest of the Pack,1.7023,4.6372,1038
Aidan's Leggings,2.2686,3.4673,1196
Shaman's Sneakthief Leggings of the Pack,2.2512,4.0484,1199
Rampager's Scallywag Gauntlets of the Pack,1.9815,2.9812,1344
Berserker's Scallywag Gauntlets of the Pack,1.0618,1.46,1366
Berserker's Scallywag Helm of the Pack,3.4261,9.9975,1634
Cleric's Scallywag Helm of the Pack,0.8243,3.14,1648
Carrion Scallywag Legs of the Pack,1.1217,1.5828,1860
Cleric's Scallywag Pauldrons of the Pack,3.0911,6.3154,2150
Berserker's Seer Mask of the Pack,1.2309,1.3,2385
Cleric's Seer Mask of the Pack,2.0013,3.4899,2399
Superior Rune of the Pack,1.2202,1.5999,24702
Dire Seer Pants of the Pack,1.422,1.99,45074
Dire Seer Mantle of the Pack,1.4111,2.0599,45075
Dire Sneakthief Gloves of the Pack,1.43,2.2137,45078

Lowest 5 buy orders
Cleric's Scallywag Helm of the Pack,0.8243
Cleric's Sneakthief Mask of the Pack,1.0151
Carrion Sneakthief Sandals of the Pack,1.0536
Berserker's Scallywag Gauntlets of the Pack,1.0618
Carrion Scallywag Legs of the Pack,1.1217

Lowest 5 sell offers
Berserker's Seer Mask of the Pack, ,1.3
Berserker's Scallywag Gauntlets of the Pack, ,1.46
Carrion Sneakthief Sandals of the Pack, ,1.4896
Carrion Scallywag Legs of the Pack, ,1.5828
Superior Rune of the Pack, ,1.5999
