name,highest buy (gold),lowest sell (gold), id
Berserker's Seer Coat of the Traveler,1.0817,1.6969,79
Rampager's Seer Coat of the Traveler,2.7147,5.0437,97
Rampager's Sneakthief Mask of the Traveler,3.2916,5.2709,101
Carrion Sneakthief Sandals of the Traveler,2.5768,4.9942,227
Carrion Sneakthief Sandals of the Traveler,0.9197,1.205,245
Shaman's Sneakthief Sandals of the Traveler,0.6175,2.8011,334
Cleric's Sneakthief Sandals of the Traveler,1.7516,2.6014,349
Berserker's Scallywag Greaves of the Traveler,1.0232,1.1896,903
Shaman's Scallywag Legs of the Traveler,1.0005,1.9084,1866
Berserker's Scallywag Pauldrons of the Traveler,1.0673,1.2173,2156
Carrion Seer Mask of the Traveler,1.0509,1.26,2389
Berserker's Seer Pants of the Traveler,4.9807,8.4699,2536
Berserker's Seer Pants of the Traveler,1.0306,1.1985,2538
Superior Rune of the Traveler,1.012,1.3806,24691
Sentinel's Rogue Pauldrons of the Traveler,22.1965,283.9999,41656
Dire Sneakthief Leggings of the Traveler,1.5076,1.9373,45080
Yakkington's Greaves,1.222,1.8497,45136
Yakkington's Chestguard,1.4005,1.856,45137
Yakkington's Gauntlets,1.3104,1.8,45138
Yakkington's Helm,1.2711,1.936,45139
Yakkington's Legplates,1.4002,1.9883,45140
Yakkington's Pauldrons,1.3101,1.889,45141

Lowest 5 buy orders
Shaman's Sneakthief Sandals of the Traveler,0.6175
Carrion Sneakthief Sandals of the Traveler,0.9197
Shaman's Scallywag Legs of the Traveler,1.0005
Superior Rune of the Traveler,1.012
Berserker's Scallywag Greaves of the Traveler,1.0232

Lowest 5 sell offers
Berserker's Scallywag Greaves of the Traveler, ,1.1896
Berserker's Seer Pants of the Traveler, ,1.1985
Carrion Sneakthief Sandals of the Traveler, ,1.205
Berserker's Scallywag Pauldrons of the Traveler, ,1.2173
Carrion Seer Mask of the Traveler, ,1.26
