name,highest buy (gold),lowest sell (gold), id
Superior Sigil of Accuracy,0.1262,0.1847,24618
Shaman's Etched Skeggox of Accuracy,1.0384,1.6902,24958
Shaman's Etched Shard of Accuracy,1.3657,2.0384,24998
Shaman's Etched Artifact of Accuracy,1.0002,1.5588,25038
Shaman's Etched Avenger of Accuracy,2.3761,3.3045,25078
Shaman's Etched Sledgehammer of Accuracy,1.2007,2.0798,25118
Shaman's Etched Spear of Accuracy,1.0471,1.4997,25158
Shaman's Etched Greatbow of Accuracy,1.0407,1.8006,25198
Shaman's Etched Cudgel of Accuracy,1.0438,1.5265,25238
Shaman's Etched Revolver of Accuracy,1.0613,1.5501,25278
Shaman's Etched Blaster of Accuracy,1.0393,1.5594,25318
Shaman's Etched Scepter of Accuracy,1.0411,1.5061,25358
Shaman's Etched Bulwark of Accuracy,1.0306,1.6517,25398
Shaman's Etched Short Bow of Accuracy,1.0332,1.5216,25438
Shaman's Etched Speargun of Accuracy,1.0307,1.5582,25478
Shaman's Etched Branch of Accuracy,1.9685,3.37,25518
Shaman's Etched Blade of Accuracy,2.062,2.9713,25558
Shaman's Etched Wartorch of Accuracy,1.034,1.51,25598
Shaman's Etched Trident of Accuracy,1.0667,1.5458,25638
Shaman's Etched Harbinger of Accuracy,1.0004,1.5057,25678
Cleric's Iron Mace of Accuracy,1.4755,2.7054,25981
Usoku's Needle,5.1021,6.9993,26152
Cleric's Iron Shield of Accuracy,0.7051,1.69,26542
Ruinmaker,1.9276,2.5076,26693
Cleric's Iron Pistol of Accuracy,1.0679,2.4085,26699
Rampager's Soft Wood Warhorn of Accuracy,1.0003,1.4995,26852
Cleric's Soft Wood Warhorn of Accuracy,1.0203,1.5,26867
Combustion,1.1289,1.7025,27171
Rampager's Iron Greatsword of Accuracy,2.3895,3.2323,27324
Cleric's Iron Hammer of Accuracy,2.3047,3.7981,27639
Eir's Short Bow,1.1234,1.6783,27802
Rampager's Iron Rifle of Accuracy,1.0909,1.8535,27949
Charrzooka,1.9099,2.5489,27955
Flamebelcher,1.0587,1.5843,28117
Berserker's Soft Wood Longbow of Accuracy,3.2509,5.3099,28270
Berserker's Black Earth Trident of Accuracy,0.8903,1.995,28416
Howler,1900.0014,2397.0,30702
Accursed Chains,38.0,43.0,31046
Carrion Legionnaire Axe of Accuracy,1.4476,2.0,32261
Carrion Legionnaire Dagger of Accuracy,1.4054,1.953,32265
Carrion Legionnaire Symbol of Accuracy,1.0517,1.35,32269
Carrion Legionnaire Greatsword of Accuracy,2.3279,5.1549,32273
Carrion Legionnaire Maul of Accuracy,0.7269,2.0096,32277
Carrion Legionnaire Spear of Accuracy,1.0305,1.5998,32281
Carrion Legionnaire Longbow of Accuracy,1.1158,2.1642,32285
Legionnaire Mace,1.0434,1.46,32289
Legionnaire Sidearm,1.0439,1.5039,32293
Carrion Legionnaire Bayonet of Accuracy,1.0407,1.6427,32297
Carrion Legionnaire Virge of Accuracy,1.0309,1.6895,32301
Carrion Legionnaire Shield of Accuracy,1.0504,1.5097,32305
Carrion Legionnaire Short Bow of Accuracy,1.0001,1.5409,32309
Carrion Legionnaire Speargun of Accuracy,1.0238,1.5278,32313
Legionnaire Staff,2.0559,4.0058,32317
Carrion Legionnaire Sword of Accuracy,2.0821,2.919,32321
Legionnaire Firebrand,1.042,1.6972,32325
Legionnaire Trident,1.0278,1.5219,32329
Carrion Legionnaire Horn of Accuracy,1.0332,1.5,32333
Carrion Tribal Axe of Accuracy,1.1249,1.7493,34124
Carrion Tribal Dagger of Accuracy,1.4088,1.6088,34128
Carrion Tribal Focus of Accuracy,1.0229,1.4998,34132
Carrion Tribal Greatsword of Accuracy,2.6139,3.3495,34136
Carrion Tribal Warhammer of Accuracy,1.162,2.3182,34140
Carrion Tribal Spear of Accuracy,1.0403,1.5987,34144
Carrion Tribal Bow of Accuracy,1.0508,2.0201,34148
Carrion Tribal Mace of Accuracy,1.0318,1.5383,34152
Carrion Tribal Pistol of Accuracy,1.0302,1.5931,34156
Carrion Tribal Rifle of Accuracy,1.0229,1.6128,34160
Carrion Tribal Scepter of Accuracy,1.0209,1.59,34164
Carrion Tribal Shield of Accuracy,1.0105,1.707,34168
Carrion Tribal Short Bow of Accuracy,1.0678,1.5067,34172
Carrion Tribal Speargun of Accuracy,1.0433,1.5292,34176
Carrion Tribal Staff of Accuracy,2.2562,3.6896,34180
Carrion Tribal Sword of Accuracy,2.1056,2.65,34184
Carrion Tribal Torch of Accuracy,1.0208,1.5005,34188
Carrion Tribal Trident of Accuracy,1.0212,1.5,34192
Carrion Tribal Warhorn of Accuracy,1.0342,1.4,34196
Sentinel's Soft Wood Staff of Accuracy,22.0257,0.0,41728
King's Remembrance,3.0042,3.4842,44962
X6-31 Beta,1.1127,1.5695,44970
Stardust,1.1607,1.5485,44979
Dire Orrian Axe of Accuracy,1.0568,1.7997,47181
Dire Orrian Dagger of Accuracy,1.3014,1.9878,47185
Dire Orrian Focus of Accuracy,1.0228,1.4998,47189
Dire Orrian Longsword of Accuracy,2.2223,4.04,47193
