name,highest buy (gold),lowest sell (gold), id
Superior Sigil of Blood,0.0845,0.1621,24570
Shaman's Etched Skeggox of Blood,1.9126,4.8082,24956
Shaman's Etched Shard of Blood,3.4981,9.5062,24996
Shaman's Etched Artifact of Blood,1.2558,2.2893,25036
Shaman's Etched Avenger of Blood,4.7397,8.4588,25076
Shaman's Etched Sledgehammer of Blood,1.8891,2.6996,25116
Shaman's Etched Spear of Blood,1.1503,1.8992,25156
Shaman's Etched Greatbow of Blood,1.5171,3.9568,25196
Shaman's Etched Cudgel of Blood,1.7023,3.6774,25236
Shaman's Etched Revolver of Blood,1.0021,2.0018,25276
Shaman's Etched Blaster of Blood,1.5539,3.0063,25316
Shaman's Etched Scepter of Blood,0.8332,1.9848,25356
Shaman's Etched Bulwark of Blood,1.6202,4.7773,25396
Shaman's Etched Short Bow of Blood,0.8837,1.9847,25436
Shaman's Etched Speargun of Blood,1.1008,1.6983,25476
Shaman's Etched Branch of Blood,2.6166,5.7596,25516
Shaman's Etched Blade of Blood,2.5776,5.4901,25556
Shaman's Etched Wartorch of Blood,0.7615,1.7748,25596
Shaman's Etched Trident of Blood,0.6745,1.9739,25636
Shaman's Etched Harbinger of Blood,0.8007,1.8944,25676
Cleric's Iron Axe of Blood,2.5689,9.8586,25960
Berserker's Iron Axe of Blood,6.6963,29.0,25963
Berserker's Iron Mace of Blood,0.9261,3.1497,25972
Berserker's Iron Dagger of Blood,2.076,2.75,26133
Cleric's Iron Dagger of Blood,3.0002,4.2592,26141
Malefacterym,1.4266,2.3679,26150
Rampager's Soft Wood Scepter of Blood,1.0003,1.5001,26383
Berserker's Iron Shield of Blood,2.0003,3.9993,26546
Berserker's Iron Pistol of Blood,2.0034,3.9096,26690
Berserker's Soft Wood Torch of Blood,0.8782,1.5,27172
Rampager's Soft Wood Torch of Blood,1.074,1.9943,27177
Cleric's Iron Greatsword of Blood,2.4406,3.4404,27335
Deathwish,7.7633,10.2225,27485
Berserker's Iron Hammer of Blood,1.7791,2.7793,27630
Berserker's Iron Spear of Blood,1.9513,4.936,28584
Eye of Rodgort,253.0022,450.0,31056
Unspoken Curse,66.7017,112.8886,31067
Lidless Eye,140.5156,234.5677,31081
Mystic Wand,12.5,17.9897,31090
Mystic Rifle,12.5655,18.9973,31098
Mystic Torch,13.0321,17.4897,31099
Mystic Caller,11.0002,16.6537,31100
Mystic Speargun,12.001,19.4896,31101
Mystic Trident,3.1321,9.9,31102
Mirage,125.018,186.958,31103
Mystic Cudgel,10.3521,18.9998,31104
