name,highest buy (gold),lowest sell (gold), id
Superior Sigil of Corruption,0.051,0.0767,24578
Jaws of Death,1.1593,1.7558,25964
Winged Spatha,2.352,3.3244,26239
Rampager's Iron Shield of Corruption,0.7664,1.495,26549
Rampager's Soft Wood Warhorn of Corruption,1.0001,1.4997,26872
Kymswarden,2.7962,3.7963,27325
Cleric's Soft Wood Staff of Corruption,4.0507,9.98,27484
Cleric's Iron Hammer of Corruption,1.7646,7.3999,27640
Rampager's Soft Wood Short Bow of Corruption,1.0029,1.5845,27792
Berserker's Iron Rifle of Corruption,5.0016,8.9593,27957
Atlatl,1.0445,1.5389,28109
Rampager's Steam Speargun of Corruption,1.0001,2.1916,28121
Rampager's Soft Wood Longbow of Corruption,1.364,4.99,28263
Rampager's Soft Wood Longbow of Corruption,1.7247,4.4683,28274
Ganadriva,1.5656,2.0786,28277
Sentinel's Iron Spear of Corruption,46.0753,299.9999,41719
Razah's Nightmare,30.0006,40.5555,44990

Lowest 5 buy orders
Superior Sigil of Corruption,0.051
Superior Sigil of Corruption,0.051
Superior Sigil of Corruption,0.051
Superior Sigil of Corruption,0.051
Superior Sigil of Corruption,0.051

Lowest 5 sell offers
Superior Sigil of Corruption, ,0.0767
Superior Sigil of Corruption, ,0.0767
Superior Sigil of Corruption, ,0.0767
Superior Sigil of Corruption, ,0.0767
Superior Sigil of Corruption, ,0.0767
