name,highest buy (gold),lowest sell (gold), id
Superior Sigil of Dreams,0.0103,0.0255,24681
Deathcamas of Dreams,370.4124,550.0,48723
Crying Thorn of Dreams,301.0156,529.9998,48724
Fellsprout of Dreams,186.0305,325.909,48725
Belladonna of Dreams,355.0752,524.5599,48726
Henbane of Dreams,181.003,596.9998,48727
Graveyard Bloom of Dreams,149.132,299.999,48728
Monkshood of Dreams,235.2011,0.0,48729
Bloodlily of Dreams,160.4978,264.4964,48730
Bloodroot of Dreams,62.0019,137.9998,48731
Snakeroot of Dreams,100.0107,338.9996,48732
Shadewort of Dreams,215.0,320.99,48733
Wolfsbane of Dreams,31.051,99.0,48734
Xanthium of Dreams,900.0003,0.0,48735
Ilex of Dreams,400.5005,844.9999,48736
Haunting Cap of Dreams,100.9991,0.0,48737
Hemlock of Dreams,130.3811,200.0,48738

Lowest 5 buy orders
Superior Sigil of Dreams,0.0103
Superior Sigil of Dreams,0.0103
Superior Sigil of Dreams,0.0103
Superior Sigil of Dreams,0.0103
Superior Sigil of Dreams,0.0103

Lowest 5 sell offers
Monkshood of Dreams, ,0.0
Xanthium of Dreams, ,0.0
Haunting Cap of Dreams, ,0.0
Superior Sigil of Dreams, ,0.0255
Superior Sigil of Dreams, ,0.0255
