name,highest buy (gold),lowest sell (gold), id
Superior Sigil of Earth,0.0259,0.0434,24560
Berserker's Mace,1.0208,1.6508,25975
Cleric's Iron Mace of Earth,1.028,1.5989,25989
Berserker's Iron Sword of Earth,1.5678,2.9999,26220
Rampager's Iron Sword of Earth,2.0138,3.1029,26240
Rampager's Soft Wood Scepter of Earth,0.8841,1.9548,26381
Oikoumene,1.0279,1.5551,26384
Adder's Hiss,1.1375,1.6096,26860
Ironfist,4.1596,5.831,27644
Éibhear Finn,1.0149,1.873,27791
Axiquiotl,1.0211,1.621,27952
Berserker's Steam Speargun of Earth,0.5003,1.6909,28102
Cleric's Steam Speargun of Earth,1.0202,1.7698,28125
Final Curse,1.4015,2.1077,28269
Melandru's Gaze,50.0125,70.0,31061
Mystic Staff,14.6221,18.51,31092
Sentinel's Iron Pistol of Earth,17.1345,184.1344,41722
Rockweed Spire,1.1704,1.5148,44966
Serpentsniper,1.0425,1.5789,47094

Lowest 5 buy orders
Superior Sigil of Earth,0.0259
Superior Sigil of Earth,0.0259
Superior Sigil of Earth,0.0259
Superior Sigil of Earth,0.0259
Superior Sigil of Earth,0.0259

Lowest 5 sell offers
Superior Sigil of Earth, ,0.0434
Superior Sigil of Earth, ,0.0434
Superior Sigil of Earth, ,0.0434
Superior Sigil of Earth, ,0.0434
Superior Sigil of Earth, ,0.0434
