name,highest buy (gold),lowest sell (gold), id
Superior Sigil of Geomancy,0.0256,0.0422,24605
Berserker's Iron Mace of the Geomancer,2.6767,9.4999,25984
Rampager's Iron Dagger of the Geomancer,1.3002,1.9998,26138
Berserker's Soft Wood Scepter of the Geomancer,0.5751,1.6008,26391
Emberglow,1.5566,2.0682,26400
Berserker's Iron Pistol of the Geomancer,5.0005,14.9997,26702
Infinite Wisdom,1.1044,1.5988,27014
Rampager's Soft Wood Torch of the Geomancer,1.0002,2.058,27185
Berserker's Iron Rifle of the Geomancer,1.0438,1.7,27946
Rampager's Soft Wood Longbow of the Geomancer,1.0212,1.8289,28278
Rampager's Black Earth Trident of the Geomancer,1.0003,1.5002,28442
Rampager's Iron Spear of the Geomancer,1.031,1.5098,28579
Song of the Numberless Pack,16.8015,35.9999,31050
Flux Matrix,25.2173,41.0207,31082
Mystic Artifact,12.1251,17.9799,31083
Heart of Mellaggan,16.6962,23.9997,31084
Sentinel's Soft Wood Warhorn of the Geomancer,7.0703,497.743,41732
Occultist Flame,4.1514,6.4,44968
Handheld Disaster,1.0118,1.591,47090
The Hunt,1.0342,1.3642,47099

Lowest 5 buy orders
Superior Sigil of Geomancy,0.0256
Superior Sigil of Geomancy,0.0256
Superior Sigil of Geomancy,0.0256
Superior Sigil of Geomancy,0.0256
Superior Sigil of Geomancy,0.0256

Lowest 5 sell offers
Superior Sigil of Geomancy, ,0.0422
Superior Sigil of Geomancy, ,0.0422
Superior Sigil of Geomancy, ,0.0422
Superior Sigil of Geomancy, ,0.0422
Superior Sigil of Geomancy, ,0.0422
