name,highest buy (gold),lowest sell (gold), id
Superior Sigil of Hydromancy,0.0258,0.0387,24597
Berserker's Soft Wood Scepter of the Hydromancer,0.8106,1.5083,26377
Berserker's Iron Pistol of the Hydromancer,0.8706,3.0179,26701
Cleric's Soft Wood Warhorn of the Hydromancer,1.1446,2.1032,26856
Rampager's Soft Wood Warhorn of the Hydromancer,0.7601,1.5024,26861
Horn of the Rogue Bull,1.1708,1.5588,26869
Rampager's Soft Wood Torch of the Hydromancer,1.0002,1.5496,27166
Sun God's Gift,1.1383,1.6877,27187
The Punisher,2.0556,2.6599,27634
Rampager's Steam Speargun of the Hydromancer,1.0003,1.4992,28107
Berserker's Steam Speargun of the Hydromancer,4.5972,6.9875,28115
Malachidean,1.0009,1.5344,28436
Wintersbark,251.0012,419.9999,31075
Jormag's Needle,70.6588,113.9999,31105
Tear of Grenth,49.0068,69.9999,31106
Mystic Spike,10.1514,14.6342,31108
Sentinel's Iron Sword of the Hydromancer,18.2481,248.9994,41729
Cobalt,3.0095,3.8493,44977

Lowest 5 buy orders
Superior Sigil of Hydromancy,0.0258
Superior Sigil of Hydromancy,0.0258
Superior Sigil of Hydromancy,0.0258
Superior Sigil of Hydromancy,0.0258
Superior Sigil of Hydromancy,0.0258

Lowest 5 sell offers
Superior Sigil of Hydromancy, ,0.0387
Superior Sigil of Hydromancy, ,0.0387
Superior Sigil of Hydromancy, ,0.0387
Superior Sigil of Hydromancy, ,0.0387
Superior Sigil of Hydromancy, ,0.0387
