name,highest buy (gold),lowest sell (gold), id
Superior Sigil of Ice,0.0257,0.0345,24555
Rampager's Iron Axe of Ice,1.0214,1.8547,25957
Cleric's Iron Dagger of Ice,1.5729,2.3054,26140
Rampager's Iron Dagger of Ice,3.1329,4.7247,26147
Berserker's Iron Sword of Ice,5.7291,17.7285,26233
Rampager's Iron Shield of Ice,1.0001,1.529,26539
Rampager's Soft Wood Warhorn of Ice,0.5316,1.541,26851
Berserker's Soft Wood Focus of Ice,0.9678,1.6601,27004
Rampager's Soft Wood Focus of Ice,0.798,1.765,27008
Berserker's Soft Wood Focus of Ice,3.0355,8.8385,27016
Rampager's Soft Wood Focus of Ice,1.2817,2.5036,27019
Naga Fang,2.646,3.9541,27321
Rampager's Soft Wood Staff of Ice,2.4204,4.4497,27480
Rampager's Steam Speargun of Ice,0.5627,1.5001,28119
Eir's Longbow,4.8567,6.6068,28272
Berserker's Black Earth Trident of Ice,1.0,1.4992,28417
The Malestrom,1.0642,1.5905,28426
Berserker's Black Earth Trident of Ice,0.8209,1.5318,28427
Frostfang,2269.9999,2600.0,30684
Jormag's Breath,88.9502,110.0,31065
Wintersbite,200.3236,277.7777,31072
Sentinel's Black Earth Trident of Ice,15.213,0.0,41731
Shiverstone,2.5049,3.2845,44975

Lowest 5 buy orders
Superior Sigil of Ice,0.0257
Superior Sigil of Ice,0.0257
Superior Sigil of Ice,0.0257
Superior Sigil of Ice,0.0257
Superior Sigil of Ice,0.0257

Lowest 5 sell offers
Sentinel's Black Earth Trident of Ice, ,0.0
Superior Sigil of Ice, ,0.0345
Superior Sigil of Ice, ,0.0345
Superior Sigil of Ice, ,0.0345
Superior Sigil of Ice, ,0.0345
