name,highest buy (gold),lowest sell (gold), id
Superior Sigil of Intelligence,0.0241,0.0333,24600
Shaman's Etched Skeggox of Intelligence,1.6355,3.3173,24957
Shaman's Etched Shard of Intelligence,3.3062,4.2961,24997
Shaman's Etched Artifact of Intelligence,1.481,2.9993,25037
Shaman's Etched Avenger of Intelligence,6.7013,9.4992,25077
Shaman's Etched Sledgehammer of Intelligence,2.1846,3.7593,25117
Shaman's Etched Spear of Intelligence,1.2402,2.6,25157
Shaman's Etched Greatbow of Intelligence,2.5587,9.15,25197
Shaman's Etched Cudgel of Intelligence,1.6014,3.1098,25237
Shaman's Etched Revolver of Intelligence,1.804,2.9013,25277
Shaman's Etched Blaster of Intelligence,1.1214,1.8971,25317
Shaman's Etched Scepter of Intelligence,1.4059,2.3898,25357
Shaman's Etched Bulwark of Intelligence,1.3313,2.4993,25397
Shaman's Etched Short Bow of Intelligence,1.5636,2.5793,25437
Shaman's Etched Speargun of Intelligence,1.461,1.9942,25477
Shaman's Etched Branch of Intelligence,3.7568,8.9953,25517
Shaman's Etched Blade of Intelligence,2.9423,5.0006,25557
Shaman's Etched Wartorch of Intelligence,1.5022,2.7,25597
Shaman's Etched Trident of Intelligence,1.2619,1.9296,25637
Shaman's Etched Harbinger of Intelligence,1.8842,3.9882,25677
Cleric's Iron Axe of Intelligence,0.5074,1.9944,25959
Cleric's Iron Axe of Intelligence,1.0207,1.5507,25968
Rampager's Iron Sword of Intelligence,1.6139,3.09,26227
Rampager's Iron Shield of Intelligence,1.0109,1.4998,26540
Guardian of the Six,1.1479,1.6087,26544
Brandt,1.1359,1.5997,26703
Rampager's Iron Pistol of Intelligence,1.7028,3.1679,26705
Adam,3.5089,4.8089,27020
Cleric's Soft Wood Torch of Intelligence,1.0421,1.6997,27181
Beacon of the True Legions,1.045,1.5898,27184
Éibhear Dunn,1.4033,2.0039,28262
Rampager's Black Earth Trident of Intelligence,1.0008,1.4943,28421
Carrion Legionnaire Axe of Intelligence,1.3629,3.1929,32260
Carrion Legionnaire Dagger of Intelligence,1.3011,2.09,32264
Carrion Legionnaire Symbol of Intelligence,1.0,1.6029,32268
Carrion Legionnaire Greatsword of Intelligence,3.1127,4.0038,32272
Carrion Legionnaire Maul of Intelligence,1.1004,2.7996,32276
Carrion Legionnaire Spear of Intelligence,1.0002,1.8049,32280
Carrion Legionnaire Longbow of Intelligence,1.0002,2.2638,32284
Legionnaire Mace,1.0002,1.9042,32288
Legionnaire Sidearm,1.0001,1.7931,32292
Carrion Legionnaire Bayonet of Intelligence,1.0001,1.8448,32296
Carrion Legionnaire Virge of Intelligence,1.0001,1.995,32300
Carrion Legionnaire Shield of Intelligence,1.0001,1.7574,32304
Carrion Legionnaire Short Bow of Intelligence,1.0003,1.4887,32308
Carrion Legionnaire Speargun of Intelligence,1.0005,1.4999,32312
Legionnaire Staff,1.637,3.6666,32316
Carrion Legionnaire Sword of Intelligence,1.8431,4.2884,32320
Legionnaire Firebrand,1.0,1.5052,32324
Legionnaire Trident,1.0,1.649,32328
Carrion Legionnaire Horn of Intelligence,1.0,1.5552,32332
Carrion Tribal Axe of Intelligence,1.3382,3.0262,34123
Carrion Tribal Dagger of Intelligence,1.2504,2.2869,34127
Carrion Tribal Focus of Intelligence,1.0607,1.5058,34131
Carrion Tribal Greatsword of Intelligence,1.9206,3.9074,34135
Carrion Tribal Warhammer of Intelligence,1.2,2.258,34139
Carrion Tribal Spear of Intelligence,1.0,1.7446,34143
Carrion Tribal Bow of Intelligence,1.0002,2.4502,34147
Carrion Tribal Mace of Intelligence,1.0002,1.9087,34151
Carrion Tribal Pistol of Intelligence,1.0,1.7001,34155
Carrion Tribal Rifle of Intelligence,1.0,1.5696,34159
Carrion Tribal Scepter of Intelligence,1.0,1.5999,34163
Carrion Tribal Shield of Intelligence,1.0,1.9046,34167
Carrion Tribal Short Bow of Intelligence,1.0004,1.4899,34171
Carrion Tribal Speargun of Intelligence,1.0,1.4994,34175
Carrion Tribal Staff of Intelligence,2.2405,3.9888,34179
Carrion Tribal Sword of Intelligence,1.2002,3.9101,34183
Carrion Tribal Torch of Intelligence,1.0,1.5301,34187
Carrion Tribal Trident of Intelligence,1.0,1.5089,34191
Carrion Tribal Warhorn of Intelligence,1.0001,1.5941,34195
Dire Orrian Axe of Intelligence,1.0001,1.7336,47180
Dire Orrian Dagger of Intelligence,1.2501,1.9999,47184
Dire Orrian Focus of Intelligence,0.979,1.4971,47188
Dire Orrian Longsword of Intelligence,2.0004,3.9741,47192
Dire Orrian Smasher of Intelligence,1.1164,2.2962,47196
Dire Orrian Spear of Intelligence,1.0,1.4933,47200
Dire Orrian Bow of Intelligence,1.0002,2.0028,47204
Dire Orrian Mace of Intelligence,1.0002,1.4998,47208
Dire Orrian Pistol of Intelligence,1.0001,1.5492,47212
Dire Orrian Rifle of Intelligence,1.0,1.5,47216
Dire Orrian Scepter of Intelligence,1.0,1.7492,47220
Dire Orrian Shield of Intelligence,1.0,1.551,47224
Dire Orrian Short Bow of Intelligence,1.0005,1.5,47228
Dire Orrian Speargun of Intelligence,1.0002,1.5447,47232
Dire Orrian Staff of Intelligence,1.7105,3.6097,47236
Dire Orrian Sabre of Intelligence,1.0834,2.9595,47240
Dire Orrian Torch of Intelligence,1.0,1.5898,47244
Dire Orrian Trident of Intelligence,1.0,1.4899,47248
Dire Orrian Warhorn of Intelligence,0.5836,1.489,47252
Dire Ceremonial Winged Axe of Intelligence,2.5576,7.9801,47504
Dire Ceremonial Dagger of Intelligence,3.0323,7.0691,47508
Dire Ceremonial Focus of Intelligence,2.0018,3.3943,47512
Dire Ceremonial Scimitar of Intelligence,7.8624,11.09,47516
Dire Ceremonial Hammer of Intelligence,3.5067,9.2068,47520
Dire Ceremonial Pike of Intelligence,2.2273,6.9999,47524
Dire Ceremonial Longbow of Intelligence,2.601,3.95,47528
Dire Ceremonial Morning Star of Intelligence,1.3342,3.0097,47532
Dire Ceremonial Pistol of Intelligence,2.223,4.9962,47536
Dire Ceremonial Rifle of Intelligence,1.7511,4.05,47540
Dire Ceremonial Scepter of Intelligence,3.0029,5.7399,47544
Dire Ceremonial Bulwark of Intelligence,2.5537,5.1097,47548
Dire Ceremonial Short Bow of Intelligence,2.1112,5.0,47552
Dire Ceremonial Speargun of Intelligence,1.2822,2.9498,47556
Dire Ceremonial Stave of Intelligence,3.8757,7.8298,47560
Dire Ceremonial Sabre of Intelligence,4.1042,7.7382,47564
Dire Ceremonial Torch of Intelligence,3.0028,4.9925,47568
Dire Ceremonial Trident of Intelligence,1.9925,4.2545,47572
Dire Ceremonial Warhorn of Intelligence,2.2221,4.5692,47576

Lowest 5 buy orders
Superior Sigil of Intelligence,0.0241
Superior Sigil of Intelligence,0.0241
Superior Sigil of Intelligence,0.0241
Superior Sigil of Intelligence,0.0241
Superior Sigil of Intelligence,0.0241

Lowest 5 sell offers
Superior Sigil of Intelligence, ,0.0333
Superior Sigil of Intelligence, ,0.0333
Superior Sigil of Intelligence, ,0.0333
Superior Sigil of Intelligence, ,0.0333
Superior Sigil of Intelligence, ,0.0333
