name,highest buy (gold),lowest sell (gold), id
Superior Sigil of Nullification,0.0,0.0255,24572
Rampager's Iron Axe of Nullification,1.5121,13.5088,25955
Berserker's Iron Dagger of Nullification,7.0233,12.5,26144
Soulshard,1.5131,2.0999,26145
Rampager's Iron Sword of Nullification,2.9174,4.9959,26236
Rampager's Iron Shield of Nullification,1.2621,10.2619,26550
Grimward,1.0044,2.2321,26557
Berserker's Soft Wood Warhorn of Nullification,2.9296,5.4998,26859
Rampager's Soft Wood Warhorn of Nullification,1.0878,1.9073,26863
Berserker's Soft Wood Short Bow of Nullification,0.9204,1.7819,27788
Cleric's Soft Wood Short Bow of Nullification,0.9356,1.5007,27796
Cleric's Soft Wood Short Bow of Nullification,1.0432,1.545,27810
Rampager's Soft Wood Longbow of Nullification,1.0206,1.9999,28264
Cleric's Soft Wood Longbow of Nullification,1.0511,2.251,28276
The Bifrost,2800.0,3440.4444,30698
Reaver of the Mists,100.0001,130.0,31034
The Anomaly,104.0745,149.0,31045
Vision of the Mists,210.01,235.0,31052
Wall of the Mists,159.0099,193.9999,31060
Eidolon,351.0,519.0,31062
Ilya,180.9999,250.146,31076
Lyss,183.9999,233.0,31080
Mystic Claymore,11.403,16.4904,31086
Naegling,40.0006,58.7539,31087
Mystic Barricade,11.3434,15.2422,31091
Mystic Pistol,11.5624,17.9996,31096
Arc,1.5303,2.1588,44980

Lowest 5 buy orders
Superior Sigil of Nullification,0.0
Superior Sigil of Nullification,0.0
Superior Sigil of Nullification,0.0
Superior Sigil of Nullification,0.0
Superior Sigil of Nullification,0.0

Lowest 5 sell offers
Superior Sigil of Nullification, ,0.0255
Superior Sigil of Nullification, ,0.0255
Superior Sigil of Nullification, ,0.0255
Superior Sigil of Nullification, ,0.0255
Superior Sigil of Nullification, ,0.0255
