name,highest buy (gold),lowest sell (gold), id
Superior Sigil of Perception,0.025,0.0255,24580
Rampager's Iron Mace of Perception,0.7226,1.5496,25986
Moonshank,1.6511,2.1659,26135
Rampager's Soft Wood Scepter of Perception,1.0001,1.54,26382
Rampager's Soft Wood Scepter of Perception,1.1127,1.6999,26399
Coldsnap,1.1119,1.66,26405
Windstorm,1.1153,1.5985,26857
Cleric's Soft Wood Torch of Perception,1.3703,2.35,27170
Berserker's Iron Greatsword of Perception,4.3361,10.9999,27318
Berserker's Iron Greatsword of Perception,2.2871,3.9072,27320
Cleric's Iron Greatsword of Perception,3.5756,6.5056,27327
Berserker's Soft Wood Staff of Perception,2.5264,5.0001,27476
Rampager's Soft Wood Staff of Perception,3.8533,5.7494,27493
Rampager's Iron Hammer of Perception,2.5017,4.4611,27635
Berserker's Soft Wood Short Bow of Perception,1.0001,1.4885,27789
Rampager's Soft Wood Short Bow of Perception,1.0001,1.5003,27814
Berserker's Iron Rifle of Perception,0.8541,1.9948,27942
Bow of the White Hart,1.3542,2.1888,28266
Rampager's Iron Spear of Perception,1.0001,1.6753,28578
Spade of the Deep,1.1463,1.5799,28580
Berserker's Iron Spear of Perception,3.4584,18.9002,28585
Kryta's Salvation,22.1016,40.0092,31036
Sentinel's Soft Wood Longbow of Perception,20.8016,299.9999,41720
Sentinel's Soft Wood Scepter of Perception,20.5701,88.7766,41724
Cutthroat Caller,1.12,1.5191,44967
Twin Talons,2.3282,3.1698,44999
Blaze of the Serpents,1.1459,1.5097,47097

Lowest 5 buy orders
Superior Sigil of Perception,0.025
Superior Sigil of Perception,0.025
Superior Sigil of Perception,0.025
Superior Sigil of Perception,0.025
Superior Sigil of Perception,0.025

Lowest 5 sell offers
Superior Sigil of Perception, ,0.0255
Superior Sigil of Perception, ,0.0255
Superior Sigil of Perception, ,0.0255
Superior Sigil of Perception, ,0.0255
Superior Sigil of Perception, ,0.0255
