name,highest buy (gold),lowest sell (gold), id
Superior Sigil of Purity,0.0255,0.0454,24571
Rampager's Iron Axe of Purity,1.0017,1.8516,25956
Serpentstone,2.1631,3.9895,25990
Shield of the Moon,1.1261,1.7518,26552
Cleric's Soft Wood Staff of Purity,2.94,3.5029,27496
Rampager's Iron Hammer of Purity,1.5256,2.949,27636
Rampager's Iron Hammer of Purity,1.3645,1.9443,27650
Rampager's Iron Rifle of Purity,1.0454,1.5054,27951
Sarraceniaceae,1.1109,1.5009,27965
Cleric's Steam Speargun of Purity,0.7976,1.6648,28110
Berserker's Soft Wood Longbow of Purity,1.1423,2.9465,28258
Berserker's Black Earth Trident of Purity,2.7864,8.4999,28428
The Dreamer,2000.9896,2488.9896,30686
Azureflame,539.9999,674.9999,31071
Aether,375.0506,640.9999,31074
Mystic Crescent,12.0437,18.5016,31093
Mystic Hornbow,12.2509,17.9899,31094
Exterminator,1.3064,1.7521,44974
Glimmerfang,2.1389,2.7273,47083

Lowest 5 buy orders
Superior Sigil of Purity,0.0255
Superior Sigil of Purity,0.0255
Superior Sigil of Purity,0.0255
Superior Sigil of Purity,0.0255
Superior Sigil of Purity,0.0255

Lowest 5 sell offers
Superior Sigil of Purity, ,0.0454
Superior Sigil of Purity, ,0.0454
Superior Sigil of Purity, ,0.0454
Superior Sigil of Purity, ,0.0454
Superior Sigil of Purity, ,0.0454
