name,highest buy (gold),lowest sell (gold), id
Superior Sigil of Rage,0.0001,0.0259,24561
Shaman's Etched Skeggox of Rage,3.6267,7.4599,24959
Shaman's Etched Shard of Rage,2.5328,3.2595,24999
Shaman's Etched Artifact of Rage,1.6979,2.4997,25039
Shaman's Etched Avenger of Rage,2.7099,3.71,25079
Shaman's Etched Sledgehammer of Rage,1.0216,2.841,25119
Shaman's Etched Spear of Rage,1.0014,2.7301,25159
Shaman's Etched Greatbow of Rage,2.0,2.5492,25199
Shaman's Etched Cudgel of Rage,2.0096,2.8294,25239
Shaman's Etched Revolver of Rage,1.0257,1.7057,25279
Shaman's Etched Blaster of Rage,1.1899,1.6099,25319
Shaman's Etched Scepter of Rage,0.8123,2.0401,25359
Shaman's Etched Bulwark of Rage,5.12,7.5,25399
Shaman's Etched Short Bow of Rage,1.1501,1.6399,25439
Shaman's Etched Speargun of Rage,0.7129,1.599,25479
Shaman's Etched Branch of Rage,3.6344,4.0599,25519
Shaman's Etched Blade of Rage,2.1503,3.5846,25559
Shaman's Etched Wartorch of Rage,1.0408,1.7308,25599
Shaman's Etched Trident of Rage,1.1167,1.6355,25639
Shaman's Etched Harbinger of Rage,1.606,2.1041,25679
Rampager's Iron Mace of Rage,1.0002,1.4982,25978
Berserker's Iron Dagger of Rage,2.6442,5.0698,26132
Berserker's Iron Dagger of Rage,1.2591,1.8499,26134
Alderune's Last Stand,2.5614,3.2,26228
Berserker's Soft Wood Scepter of Rage,1.01,1.5591,26378
Hypnotic Scepter,1.2804,1.5557,26380
Berserker's Iron Shield of Rage,1.0022,1.4897,26535
Kryta's Embrace,2.51,3.895,26541
Gearbore,1.2004,1.5144,26708
Berserker's Soft Wood Warhorn of Rage,0.9068,1.709,26847
Berserker's Soft Wood Warhorn of Rage,0.5437,1.794,26858
Berserker's Soft Wood Focus of Rage,1.0304,1.6503,27006
Cleric's Iron Greatsword of Rage,3.019,4.0989,27326
Dhuumseal,2.9418,3.7599,27338
Berserker's Soft Wood Staff of Rage,3.7744,9.0594,27475
Rampager's Soft Wood Staff of Rage,2.8077,3.5475,27500
Rampager's Soft Wood Short Bow of Rage,1.0009,1.5009,27793
Rampager's Iron Rifle of Rage,1.0004,1.4897,27950
