name,highest buy (gold),lowest sell (gold), id
Superior Sigil of Stamina,0.023,0.0255,24592
Rampager's Iron Axe of Stamina,0.5109,2.6898,25965
Cleric's Soft Wood Scepter of Stamina,1.0428,1.4998,26402
X7-10 Alpha,1.0531,1.5499,27022
Rampager's Soft Wood Staff of Stamina,2.7069,4.9993,27479
Cleric's Iron Hammer of Stamina,1.2314,2.1493,27648
Berserker's Soft Wood Short Bow of Stamina,0.7368,1.5,27799
Rampager's Soft Wood Short Bow of Stamina,0.7682,1.4568,27805
Vera,1.1203,1.6649,27948
Cleric's Steam Speargun of Stamina,1.1119,2.13,28111
Berserker's Steam Speargun of Stamina,0.8737,1.6885,28113
Rampager's Black Earth Trident of Stamina,0.7556,1.5009,28420
Rhongomyniad,1.124,1.5999,28591
Quip,1925.0302,2300.9999,30693
Goblet of Kings,13.4939,14.9998,31049
Immobulus,505.0,850.0,31057
Knowledge is Power,1.0859,1.5153,44961
Guild Defender,1.1333,1.7117,44971
Rivetwall,1.1422,1.7547,47092

Lowest 5 buy orders
Superior Sigil of Stamina,0.023
Superior Sigil of Stamina,0.023
Superior Sigil of Stamina,0.023
Superior Sigil of Stamina,0.023
Superior Sigil of Stamina,0.023

Lowest 5 sell offers
Superior Sigil of Stamina, ,0.0255
Superior Sigil of Stamina, ,0.0255
Superior Sigil of Stamina, ,0.0255
Superior Sigil of Stamina, ,0.0255
Superior Sigil of Stamina, ,0.0255
