name,highest buy (gold),lowest sell (gold), id
Superior Sigil of Water,0.0324,0.0469,24551
Rampager's Iron Axe of Water,1.0238,1.6237,25970
Rampager's Iron Mace of Water,0.836,1.7588,25976
Rampager's Soft Wood Focus of Water,1.0206,1.5238,27023
Arcanus Obscurus,1.3007,1.8099,27024
Berserker's Soft Wood Torch of Water,1.5102,3.9994,27173
Rampager's Iron Greatsword of Water,2.5325,3.51,27337
Rampager's Soft Wood Short Bow of Water,1.0006,1.5153,27794
Droknar's Short Bow,1.0731,1.528,27808
Azure Railgun,0.9966,1.55,27958
Rampager's Steam Speargun of Water,1.0006,1.518,28108
Droknar's Recurve Bow,1.2574,2.1347,28275
Nitro,1.1309,1.5388,28589
Ambrosia,5.0,5.99,31038
Sentinel's Iron Rifle of Water,10.51,99.99,41723
Song of the Temptress,1.0657,1.4888,44989
Monsoon,2.8043,4.026,44992

Lowest 5 buy orders
Superior Sigil of Water,0.0324
Superior Sigil of Water,0.0324
Superior Sigil of Water,0.0324
Superior Sigil of Water,0.0324
Superior Sigil of Water,0.0324

Lowest 5 sell offers
Superior Sigil of Water, ,0.0469
Superior Sigil of Water, ,0.0469
Superior Sigil of Water, ,0.0469
Superior Sigil of Water, ,0.0469
Superior Sigil of Water, ,0.0469
